SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
BOHRAIND,Bohra Industries Limited,EQ,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,INE032A01023
BONLON,Bonlon Industries Limited,EQ,INE0B9A01018
BORANA,Borana Weaves Limited,EQ,INE16SF01016
BOROLTD,Borosil Limited,EQ,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,INE666D01022
BOROSCI,Borosil Scientific Limited,EQ,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ,INE782A01015
BOSCHLTD,Bosch Limited,EQ,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,EQ,INE029A01011
BPL,BPL Limited,EQ,INE110A01019
BRIGADE,Brigade Enterprises Limited,EQ,INE791I01019
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,INE03NU01014
BRITANNIA,Britannia Industries Limited,EQ,INE216A01030
BRNL,Bharat Road Network Limited,EQ,INE727S01012
BSE,BSE Limited,EQ,INE118H01025
BSL,BSL Limited,EQ,INE594B01012
BSOFT,BIRLASOFT LIMITED,EQ,INE836A01035
BTML,Bodhi Tree Multimedia Limited,EQ,INE0EEJ01023
BUILDPRO,Shankara Buildpro Limited,EQ,INE24OJ01011
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,INE295F01017
BVCL,Barak Valley Cements Limited,EQ,INE139I01011
CAMLINFINE,Camlin Fine Sciences Limited,EQ,INE052I01032
CAMPUS,Campus Activewear Limited,EQ,INE278Y01022
CAMS,Computer Age Management Services Limited,EQ,INE596I01020
CANBK,Canara Bank,EQ,INE476A01022
CANFINHOME,Can Fin Homes Limited,EQ,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,INE01TY01017
CANTABIL,Cantabil Retail India Limited,EQ,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,EQ,INE264T01014
CAPILLARY,Capillary Technologies India Limited,EQ,INE0ILV01024
CAPITALSFB,Capital Small Finance Bank Limited,EQ,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,INE475E01026
CARBORUNIV,Carborundum Universal Limited,EQ,INE120A01034
CARERATING,CARE Ratings Limited,EQ,INE752H01013
CARRARO,Carraro India Limited,EQ,INE0V7W01012
CARTRADE,Cartrade Tech Limited,EQ,INE290S01011
CARYSIL,CARYSIL LIMITED,EQ,INE482D01024
CASTROLIND,Castrol India Limited,EQ,INE172A01027
CCAVENUE,AvenuesAI Limited,EQ,INE483S01020
CCCL,Consolidated Construction Consortium Limited,EQ,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,EQ,INE652F01027
CCL,CCL Products (India) Limited,EQ,INE421D01022
CDSL,Central Depository Services (India) Limited,EQ,INE736A01011
CEATLTD,CEAT Limited,EQ,INE482A01020
CEIGALL,Ceigall India Limited,EQ,INE0AG901020
CEINSYS,Ceinsys Tech Limited,EQ,INE016Q01014
CELEBRITY,Celebrity Fashions Limited,EQ,INE185H01016
CELLO,Cello World Limited,EQ,INE0LMW01024
CEMPRO,Cemindia Projects Limited,EQ,INE686A01026
CENTENKA,Century Enka Limited,EQ,INE485A01015
CENTEXT,Century Extrusions Limited,EQ,INE281A01026
CENTRALBK,Central Bank of India,EQ,INE483A01010
CENTRUM,Centrum Capital Limited,EQ,INE660C01027
CENTUM,Centum Electronics Limited,EQ,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,EQ,INE348B01021
CERA,Cera Sanitaryware Limited,EQ,INE739E01017
CESC,CESC Limited,EQ,INE486A01021
CEWATER,Concord Enviro Systems Limited,EQ,INE037Z01029
CGCL,Capri Global Capital Limited,EQ,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,EQ,INE067A01029
CHALET,Chalet Hotels Limited,EQ,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,INE085A01013
CHEMPLASTS,Chemplast Sanmar Limited,EQ,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,INE178A01016
CHEVIOT,Cheviot Company Limited,EQ,INE974B01016
CHOICEIN,Choice International Limited,EQ,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,INE149A01033
CIEINDIA,CIE Automotive India Limited,EQ,INE536H01010
CIFL,Capital India Finance Limited,EQ,INE345H01024
CINELINE,Cineline India Limited,EQ,INE704H01022
CINEVISTA,Cinevista Limited,EQ,INE039B01026
CIPLA,Cipla Limited,EQ,INE059A01026
CLEAN,Clean Science and Technology Limited,EQ,INE227W01023
CLEANMAX,Clean Max Enviro Energy Solutions Limited,EQ,INE647U01026
CLSEL,Chaman Lal Setia Exports Limited,EQ,INE419D01026
CMLL,Caliber Mining and Logistics Limited,EQ,INE11XY01018
CMPDI,Central Mine Planning & Design Institute Limited,EQ,INE05HV01027
CMRGREEN,CMR Green Technologies Limited,EQ,INE00WV01027
CMSINFO,CMS Info Systems Limited,EQ,INE925R01014
CNL,Creative Newtech Limited,EQ,INE985W01018
COALINDIA,Coal India Limited,EQ,INE522F01014
COASTCORP,Coastal Corporation Limited,EQ,INE377E01024
COCHINSHIP,Cochin Shipyard Limited,EQ,INE704P01025
COCKERILL,John Cockerill India Limited,EQ,INE515A01019
COFORGE,Coforge Limited,EQ,INE591G01025
COHANCE,Cohance Lifesciences Limited,EQ,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,EQ,INE259A01022
COMFINTE,Comfort Intech Limited,EQ,INE819A01049
COMPUSOFT,Compucom Software Limited,EQ,INE453B01029
COMSYN,Commercial Syn Bags Limited,EQ,INE073V01015
CONCOR,Container Corporation of India Limited,EQ,INE111A01025
CONCORDBIO,Concord Biotech Limited,EQ,INE338H01029
CONFIPET,Confidence Petroleum India Limited,EQ,INE552D01024
CONTROLPR,Control Print Limited,EQ,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,EQ,INE558D01021
CORDELIA,Waterways Leisure Tourism Limited,EQ,INE0LZF01013
COROMANDEL,Coromandel International Limited,EQ,INE169A01031
CORONA,CORONA Remedies Limited,EQ,INE02ZQ01018
